Player,BankIni,BankInc,BankIncBet,TotalGames,TotalBet,TotalB,TotalR,TotalC,TotalK,PreflopVCom,FlopVCom,TurnVCom,RiverVCom,FlopVSim,TurnVSim,RiverVSim
Riverboat,300.72,-8.0,40.0,7.0,62.0,8.0,11.0,17.0,9.0,0.649014285714,0.630585714286,0.632285714286,0.571657142857,0.6962259629,0.756297903771,0.756518871286
Bomber,294.0,18.46,4595.3,641.0,3986.0,948.0,304.0,1407.0,996.0,0.548951326053,0.600850858034,0.61958673947,0.631403120125,0.597405298372,0.717305990559,0.818495027316
Benway,104.86,395.12,30367.28,4065.0,28008.0,6981.0,4127.0,7071.0,5783.0,0.577210479705,0.62268602706,0.635641869619,0.640891439114,0.621699486684,0.730004302696,0.820415259016
ab0,125.8,-104.4,95.74,23.0,171.0,39.0,16.0,52.0,29.0,0.57922173913,0.642608695652,0.619043478261,0.621939130435,0.653838056961,0.746964203726,0.843845029643
PornStar,1808.56,-709.78,412.24,53.0,406.0,95.0,57.0,93.0,69.0,0.5652,0.65511509434,0.661611320755,0.699698113208,0.630233094691,0.741951185411,0.872466809651
action,105.34,254.26,383.48,42.0,297.0,58.0,37.0,87.0,55.0,0.621383333333,0.701116666667,0.696414285714,0.725007142857,0.709097970695,0.76876895446,0.866703329679
jackit,165.6,1044.74,773.24,145.0,735.0,224.0,70.0,207.0,244.0,0.565140689655,0.573442068966,0.570655862069,0.592022758621,0.565864258174,0.67124567864,0.790640611681
vin,103.36,227.14,471.0,54.0,376.0,94.0,46.0,92.0,68.0,0.578735185185,0.652248148148,0.642918518519,0.685364814815,0.643805577783,0.724552698574,0.861551458181
Willy^,129.16,-7.0,0.0,2.0,14.0,1.0,1.0,7.0,1.0,0.6824,0.6108,0.6197,0.5091,0.6136893219,0.6246783329,0.62487456525
jrx,114.94,132.0,1744.5,237.0,1487.0,292.0,144.0,538.0,378.0,0.57171350211,0.634405063291,0.646320253165,0.654393248945,0.629095760344,0.735086327619,0.825857790375
Clarkent,691.72,0.0,0.0,1.0,4.0,1.0,1.0,1.0,3.0,0.4791,0.3576,0.6418,0.6141,0.4167974882,0.7933558039,0.7933558039
Shrink2,353.44,-123.74,4037.96,718.0,3939.0,870.0,88.0,1851.0,1135.0,0.561700417827,0.617064763231,0.61459178273,0.620232869081,0.610643589984,0.716486273103,0.81354281374
PaprTigr,223.68,1353.12,668.02,102.0,608.0,156.0,73.0,164.0,152.0,0.579295098039,0.607190196078,0.645224509804,0.639385294118,0.618852989914,0.737532271586,0.820711972573
Cadillac,189.7,62.92,637.24,103.0,643.0,162.0,69.0,191.0,162.0,0.564953398058,0.643166019417,0.654991262136,0.655682524272,0.641354050958,0.762249085594,0.834335388377
mort,177.9,-29.0,43.0,9.0,59.0,15.0,5.0,22.0,12.0,0.567366666667,0.705555555556,0.697855555556,0.675366666667,0.690881352522,0.7842332232,0.814666122856
Fritz,159.28,57.3,1830.24,252.0,1593.0,403.0,241.0,379.0,348.0,0.597417460317,0.64811984127,0.650235714286,0.653370634921,0.661906084166,0.7534259644,0.829494294665
Chance00,415.74,-257.32,1218.5,176.0,1233.0,328.0,181.0,295.0,250.0,0.534958522727,0.594690340909,0.590884659091,0.576286363636,0.571517534022,0.685614051128,0.790625900711
Centerace,276.36,-20.0,33.0,6.0,54.0,12.0,7.0,13.0,4.0,0.546983333333,0.738033333333,0.7622,0.769533333333,0.831294056083,0.929005448317,0.9295554119
Mr_G_spot,313.32,-16.74,107.76,12.0,81.0,18.0,4.0,30.0,22.0,0.592158333333,0.705816666667,0.723541666667,0.761408333333,0.758090159125,0.805187651983,0.919307402458
darkstar,392.98,-3.5,64.5,6.0,38.0,5.0,3.0,14.0,8.0,0.62135,0.72665,0.73825,0.727433333333,0.80339295975,0.876862411617,0.878674097817
prockbot,144.6,74.36,608.74,88.0,635.0,170.0,95.0,165.0,115.0,0.534085227273,0.571377272727,0.600501136364,0.578930681818,0.560358033073,0.699704750777,0.783120061839
TripSixes,138.88,254.06,1385.0,179.0,1196.0,277.0,159.0,297.0,241.0,0.586791061453,0.628693854749,0.615560893855,0.646101675978,0.645553032128,0.729907758116,0.846447190815
Vic,719.36,-455.56,2087.0,288.0,1436.0,326.0,182.0,416.0,562.0,0.554373958333,0.625054166667,0.637484027778,0.655369097222,0.625061481588,0.736485700049,0.835500491595
Wyatt,132.68,70.3,469.26,51.0,388.0,86.0,42.0,111.0,51.0,0.545315686275,0.598562745098,0.623188235294,0.702341176471,0.560275716625,0.708453124831,0.889598131857
cmonster,98.0,789.14,310.0,37.0,220.0,51.0,23.0,67.0,55.0,0.569440540541,0.671248648649,0.681232432432,0.683091891892,0.738333951049,0.817068615384,0.889180006719
lilly,1245.7,-148.06,2489.54,373.0,1762.0,449.0,121.0,690.0,783.0,0.574947989276,0.610574798928,0.629746648794,0.635334048257,0.614301563068,0.731741609822,0.823885308919
RandomStu,109.48,1283.38,431.0,68.0,437.0,118.0,48.0,117.0,93.0,0.533036764706,0.605539705882,0.611785294118,0.597641176471,0.634191487684,0.710661628903,0.805407496707
sluggo,118.44,-43.5,214.0,35.0,251.0,76.0,45.0,36.0,39.0,0.564822857143,0.561908571429,0.56262,0.6051,0.537532419563,0.666206944314,0.798886631574
tjswanee,272.76,43.44,244.0,14.0,131.0,24.0,20.0,28.0,18.0,0.599257142857,0.713064285714,0.789085714286,0.8006,0.675227838379,0.885881358043,0.949734454214
edge4,109.9,-0.5,86.0,14.0,90.0,25.0,9.0,22.0,19.0,0.537428571429,0.637014285714,0.59975,0.591092857143,0.7118492452,0.745181369264,0.822574524314
Mikester,148.6,170.4,60.76,12.0,83.0,15.0,11.0,26.0,21.0,0.577733333333,0.609141666667,0.648558333333,0.591625,0.610838950967,0.823657155175,0.86471447555
grapenuts,136.68,36.54,426.0,61.0,377.0,123.0,44.0,90.0,83.0,0.55491147541,0.590380327869,0.617747540984,0.611803278689,0.6204632925,0.761407299367,0.8417178536
sneezix,123.42,33.9,76.5,7.0,58.0,14.0,4.0,15.0,7.0,0.572842857143,0.733214285714,0.827728571429,0.798785714286,0.752764072657,0.965193330086,0.965193714843
jaybone,515.8,0.0,0.0,1.0,4.0,2.0,1.0,1.0,2.0,0.3516,0.2607,0.1601,0.0308,0.0247252747,0.0820251177,0.0883045526
Thunked,194.74,0.0,7.26,1.0,7.0,2.0,0.0,3.0,3.0,0.5421,0.8198,0.823,0.8343,0.9596869517,0.959693108,0.959693108
cosmic,1350.68,-323.8,442.24,57.0,400.0,91.0,52.0,107.0,74.0,0.565861403509,0.621703508772,0.624112280702,0.628477192982,0.607083649928,0.692448180358,0.819319630684
eazy,216.82,1.58,1173.52,119.0,899.0,174.0,89.0,285.0,140.0,0.60731092437,0.683065546218,0.71558907563,0.733533613445,0.695908437713,0.812480538433,0.882243184928
aldous,170.82,-57.36,44.24,11.0,88.0,15.0,11.0,23.0,12.0,0.551454545455,0.524036363636,0.570727272727,0.559909090909,0.659897665355,0.748613466364,0.824988177091
Oden,505.6,-235.82,203.52,32.0,225.0,51.0,25.0,65.0,41.0,0.60278125,0.606784375,0.65519375,0.693096875,0.616898009213,0.737203920025,0.840284142503
thekingII,219.86,1651.64,5544.22,718.0,5720.0,1266.0,1121.0,918.0,935.0,0.522455292479,0.558264066852,0.570286629526,0.574387047354,0.561362666452,0.687549460538,0.78781287692
neverx,421.54,220.88,1590.24,202.0,1403.0,252.0,193.0,400.0,343.0,0.562292574257,0.609919306931,0.623092574257,0.632622772277,0.618236418711,0.736676528952,0.812808533544
rayzor,238.74,275.56,3092.28,380.0,2857.0,676.0,418.0,709.0,456.0,0.552259473684,0.585070526316,0.6003,0.594839473684,0.579381432736,0.705557356545,0.799501941464
Norm,193.6,-67.42,323.74,56.0,276.0,48.0,6.0,152.0,118.0,0.552846428571,0.599060714286,0.577058928571,0.585178571429,0.613031483204,0.723742869402,0.840696567086
clarko,108.32,-0.58,18.5,5.0,43.0,9.0,4.0,11.0,3.0,0.61668,0.79096,0.78114,0.77584,0.81074829932,0.85700280112,0.89234247544
BeesiTzu,113.22,85.98,2029.54,295.0,2203.0,605.0,221.0,630.0,281.0,0.554973220339,0.60296,0.618483728814,0.619442033898,0.577574250038,0.706793281852,0.806036945415
csg,123.0,192.0,295.5,51.0,273.0,75.0,22.0,95.0,78.0,0.582668627451,0.625376470588,0.655064705882,0.659121568627,0.644565020578,0.76599972568,0.861377846765
yiminh,1082.94,11.52,168.52,22.0,173.0,49.0,24.0,25.0,18.0,0.552368181818,0.596359090909,0.632140909091,0.661059090909,0.631054589664,0.760374971655,0.878528684191
SpicyF,1688.7,-702.8,341.0,34.0,292.0,105.0,51.0,34.0,24.0,0.533035294118,0.595408823529,0.586047058824,0.558382352941,0.625783514762,0.699698171118,0.787032052641
harryc,490.34,975.46,3002.74,358.0,2359.0,595.0,326.0,541.0,475.0,0.577372905028,0.647620670391,0.668011452514,0.683088826816,0.655941584842,0.771294999523,0.851456027192
MedBoy,158.9,9.96,466.74,57.0,382.0,112.0,55.0,78.0,77.0,0.570845614035,0.644512280702,0.645798245614,0.639573684211,0.618279916551,0.722813005091,0.800661614168
Shadow,269.5,-37.52,124.98,27.0,165.0,43.0,24.0,42.0,39.0,0.539192592593,0.583848148148,0.546855555556,0.503777777778,0.57235275877,0.672939945207,0.744972333667
FishMo,225.7,-32.26,155.24,19.0,144.0,28.0,24.0,29.0,24.0,0.511952631579,0.558273684211,0.591073684211,0.6373,0.540420702684,0.710172834316,0.793793286542
IdiotVig,117.3,157.22,1521.72,180.0,1247.0,304.0,183.0,254.0,238.0,0.575090555556,0.639606111111,0.661178333333,0.671312222222,0.627679437159,0.749086739397,0.843421516038
Don,95.84,323.66,1030.5,139.0,962.0,241.0,132.0,233.0,190.0,0.573984172662,0.646060431655,0.647416546763,0.676985611511,0.659963252046,0.74932520878,0.862368909932
ChipStaks,94.6,63.0,122.0,38.0,142.0,51.0,8.0,65.0,94.0,0.549215789474,0.580334210526,0.569326315789,0.541605263158,0.580219992855,0.707831219532,0.782808113126
JHFC,559.2,-51.0,130.0,35.0,257.0,54.0,38.0,69.0,43.0,0.529185714286,0.559225714286,0.524425714286,0.488017142857,0.562120364626,0.63159747416,0.745087210714
dortoh,425.8,76.92,440.5,60.0,324.0,60.0,18.0,135.0,124.0,0.562601666667,0.627111666667,0.623605,0.621478333333,0.613802963492,0.704180986497,0.789842148398
WC^,100.8,58.6,590.74,76.0,465.0,126.0,68.0,114.0,115.0,0.542893421053,0.611871052632,0.633436842105,0.650497368421,0.597360391524,0.72106592637,0.819618019272
Sex4Sale,112.44,-14.0,0.0,2.0,18.0,2.0,4.0,4.0,1.0,0.6455,0.65865,0.68545,0.67145,0.67527780345,0.87801409025,0.87801409025
Benja,154.54,-25.98,7789.0,1015.0,6359.0,1712.0,970.0,1466.0,1477.0,0.570482167488,0.626050147783,0.639520788177,0.648319507389,0.626843558947,0.741225406418,0.831689060617
coal,133.0,491.18,1135.5,145.0,908.0,258.0,103.0,243.0,212.0,0.570309655172,0.610990344828,0.612406896552,0.6216,0.624259027219,0.729396437623,0.811582593253
Einstein,209.66,1052.86,890.76,118.0,756.0,196.0,72.0,228.0,161.0,0.587020338983,0.64096440678,0.647497457627,0.657639830508,0.622271079225,0.720216968791,0.814196248903
Grizz,153.8,-53.9,1675.24,175.0,1435.0,383.0,213.0,278.0,154.0,0.547063428571,0.594570857143,0.615028,0.656813714286,0.586394804073,0.710024337205,0.825045270853
halibut,468.84,614.12,3623.54,489.0,3137.0,832.0,465.0,676.0,731.0,0.588729243354,0.630564826176,0.636326175869,0.629074846626,0.62678684971,0.726164997223,0.806510959738
StingRay,345.92,1326.2,4377.92,406.0,3483.0,631.0,592.0,667.0,415.0,0.546955665025,0.613086453202,0.639923152709,0.664775123153,0.612552476466,0.749126592659,0.850083520523
pcktkings,991.8,811.72,2030.98,292.0,1684.0,377.0,152.0,580.0,482.0,0.568446232877,0.632544863014,0.650055479452,0.668080136986,0.623985326476,0.750137527348,0.845277975517
PokerPunk,82.54,99.0,380.5,44.0,297.0,85.0,35.0,74.0,61.0,0.588268181818,0.640175,0.621252272727,0.597843181818,0.649529549586,0.729030012352,0.789040371391
AxeCell,172.8,0.5,53.0,5.0,28.0,6.0,2.0,11.0,7.0,0.53544,0.58064,0.62844,0.61556,0.4879514883,0.73611937082,0.74870040326
GAR,92.82,1210.78,2265.02,339.0,1756.0,404.0,100.0,750.0,612.0,0.566893215339,0.622978761062,0.626579056047,0.630422123894,0.61750827629,0.723283018675,0.820114184771
McKrak,189.58,-2.0,55.0,10.0,44.0,8.0,1.0,21.0,21.0,0.5476,0.53206,0.58204,0.58948,0.51464801304,0.74430972389,0.7941862899
Jedi,91.58,-66.78,292.5,49.0,280.0,82.0,38.0,63.0,71.0,0.553753061224,0.574314285714,0.572355102041,0.552189795918,0.591712854688,0.680787558361,0.760208926586
Roxanne,103.52,23.48,540.76,63.0,502.0,82.0,49.0,168.0,79.0,0.515723809524,0.581611111111,0.607573015873,0.692880952381,0.534685461478,0.687063097524,0.845161147489
Ozob,190.9,33.3,283.24,38.0,276.0,50.0,23.0,95.0,57.0,0.560255263158,0.642892105263,0.652105263158,0.672347368421,0.664946018897,0.762636775363,0.876191498868
obi2000,983.86,-466.12,124.0,20.0,150.0,31.0,24.0,33.0,29.0,0.60113,0.611985,0.65039,0.608555,0.628449995375,0.737095107265,0.805523401655
One_Time,99.26,469.22,1796.0,247.0,1819.0,506.0,293.0,376.0,272.0,0.560810931174,0.636446558704,0.640948178138,0.62877854251,0.659107948689,0.748818879778,0.836102421346
wrh,365.82,508.94,307.0,58.0,320.0,78.0,16.0,126.0,95.0,0.56435,0.635781034483,0.638084482759,0.645944827586,0.633896821331,0.727372978378,0.8172939932
prodigy,1579.5,-10.24,258.26,32.0,184.0,31.0,17.0,70.0,59.0,0.623928125,0.66568125,0.693603125,0.697940625,0.653731492591,0.785074498541,0.865367300766
coldcall,551.68,55.5,141.5,13.0,79.0,19.0,7.0,27.0,24.0,0.553069230769,0.679784615385,0.716976923077,0.736753846154,0.782067619938,0.879085006769,0.946996313315
zorbucks,450.58,26.16,5151.62,794.0,4895.0,1186.0,480.0,1580.0,1104.0,0.588633753149,0.640539546599,0.642840680101,0.643865365239,0.652179675397,0.746126903097,0.829333122515
XxMaveNxX,101.2,-57.24,394.76,77.0,435.0,98.0,19.0,176.0,127.0,0.569693506494,0.612741558442,0.627923376623,0.626532467532,0.570042982229,0.693207267922,0.811604387005
Kingzilla,922.42,68.0,261.5,19.0,203.0,33.0,38.0,27.0,28.0,0.542157894737,0.663905263158,0.668284210526,0.608447368421,0.705653232953,0.793195820837,0.801667711621
