Player,BankIni,BankInc,BankIncBet,TotalGames,TotalBet,TotalB,TotalR,TotalC,TotalK,PreflopVCom,FlopVCom,TurnVCom,RiverVCom,FlopVSim,TurnVSim,RiverVSim
Thumpit,-53.5223884198,-153.106658625,-956.524571773,-128.340772014,-862.731604343,-212.357659831,-112.664656212,-226.192400483,-181.813027744,-0.0271955857484,-0.186776179249,-0.179111392761,-0.259726487165,-0.177307067827,0.00593950288899,-0.083763005821
Temmi,-143.48238842,-73.8666586248,195.715428227,14.6592279855,219.268395657,49.6423401689,27.3353437877,30.8075995175,-29.8130277443,0.00381613838949,0.00852451040633,0.022749986549,0.0281183404213,0.00985444666288,0.0182144606273,0.0188473831228
dgrPL,-191.86238842,-138.506658625,-823.524571773,-124.340772014,-819.731604343,-202.357659831,-110.664656212,-214.192400483,-181.813027744,0.0278710809182,0.105673820751,0.054871940572,0.218990179502,0.101861458573,0.0905825267723,0.142432023462
m1,-167.14238842,-124.206658625,-960.524571773,-128.340772014,-852.731604343,-213.357659831,-112.664656212,-220.192400483,-185.813027744,0.0600044142516,-0.0851761792488,-0.101161392761,-0.221126487165,-0.290929439827,-0.057630540511,-0.148835188571
Zwierdo,-122.96238842,2263.43334138,6222.91542823,902.659227986,5684.26839566,1530.64234017,924.335343788,1161.80759952,1441.18697226,-0.0020096225345,-0.0156310679226,-0.0180997761108,-0.0221631764195,-0.0313909703425,-0.0245742280186,-0.0171002956435
FrisB,-107.38238842,-143.606658625,-956.024571773,-127.340772014,-855.731604343,-211.357659831,-113.664656212,-222.192400483,-179.813027744,-0.0321955857484,-0.147009512582,-0.192311392761,-0.136959820498,-0.139354707394,-0.239453526094,-0.186052126638
evercall,-211.78238842,-146.606658625,-840.524571773,-115.340772014,-761.731604343,-180.357659831,-98.6646562123,-202.192400483,-171.813027744,0.0438510809182,0.0802371540845,0.0542352739053,-0.000919820498194,0.144969073426,0.0452893967057,-0.0344585661443
Christine,-179.50238842,-165.106658625,-859.024571773,-112.340772014,-720.731604343,-192.357659831,-87.6646562123,-197.192400483,-169.813027744,0.020098858696,0.00244604297337,-0.00880583720578,-0.0351153760537,-0.0478182423608,-0.0780598874555,-0.0222866845599
MoRivr,963.87761158,-1293.16665862,-330.024571773,-69.3407720145,-439.731604343,-105.357659831,-32.6646562123,-150.192400483,-102.813027744,-0.0547939464042,-0.0362466710521,-0.0410097534171,-0.0532740281485,-0.0519494089816,-0.0424407949938,-0.0173201361415
Stu,-160.58238842,48.3133413752,-562.024571773,-98.3407720145,-542.731604343,-161.357659831,-70.6646562123,-146.192400483,-145.813027744,0.0386575392516,0.0605425707512,0.0647792322387,0.0431047628351,0.121198656591,0.097249127714,0.0400446903009
AcesUp,99.3976115802,-140.226658625,264.995428227,24.6592279855,218.268395657,15.6423401689,17.3353437877,84.8075995175,46.1869722557,0.00915086586446,0.0307702723641,0.0365976394967,0.0232586741255,0.0126751682603,0.0145578609158,0.00325797375224
mudbug,-128.64238842,-229.706658625,-670.784571773,-96.3407720145,-613.731604343,-166.357659831,-83.6646562123,-150.192400483,-137.813027744,0.0184044142516,0.00734440898645,0.0445797837093,0.017935277541,-0.00096682583335,0.0290393084331,-0.00120353410922
jmg,-196.54238842,796.453341375,1386.79542823,184.659227986,1194.26839566,385.642340169,138.335343788,279.807599517,199.186972256,0.02058282695,0.0273085826559,0.0185495596196,0.0291598620415,0.0443720812608,0.0179948451869,0.0154295954833
KMLB,-71.6823884198,-119.266658625,-415.284571773,-43.3407720145,-441.731604343,-86.3576598311,-55.6646562123,-105.192400483,-3.81302774427,-0.0101197236795,-0.0142842252259,-0.00946311689927,-0.0163747630269,-0.00422341348034,0.0227066518413,0.00323178321407
OnTilt666,1258.09761158,141.113341375,-835.264571773,-116.340772014,-794.731604343,-199.357659831,-102.664656212,-206.192400483,-160.813027744,-0.0146670143199,-0.0175118935346,-0.0494113927613,-0.00834791573629,0.039469532944,-0.0163784352682,0.0305184484862
Indigo,99.6776115802,-137.606658625,-945.524571773,-128.340772014,-850.731604343,-212.357659831,-113.664656212,-218.192400483,-185.813027744,-0.00699558574844,0.118873820751,0.131538607239,0.0402735128351,0.196831048973,0.085085007239,0.070788045329
Canaduuh,1383.07761158,-137.566658625,-834.524571773,-118.340772014,-745.731604343,-192.357659831,-95.6646562123,-201.192400483,-178.813027744,-0.0529622524151,0.00656548741782,-0.004053059428,0.0969235128351,0.0603868559142,0.0297251710223,0.079469979654
eclipse,-124.88238842,-43.3066586248,-489.024571773,-55.3407720145,-413.731604343,-78.3576598311,-67.6646562123,-95.1924004825,-76.8130277443,-0.00258225241511,0.0126891540845,0.0142312739053,0.0352921795018,0.0355114903845,0.0309585259003,0.0306723939477
mt,-177.22238842,44.2933413752,10700.2354282,1259.65922799,8008.26839566,2296.64234017,1190.33534379,1759.80759952,1953.18697226,0.00616146461127,0.0159180653555,0.0168686072387,0.0132720020438,0.0131460545014,0.0105069898317,0.00739271016664
madussa,117.39761158,-133.606658625,-892.524571773,-122.340772014,-822.731604343,-209.357659831,-110.664656212,-205.192400483,-177.813027744,0.00230441425156,-0.0477886792488,-0.0171113927613,0.0233485128351,-0.11165715399,-0.051072725061,-0.0528892140335
erb,389.71761158,-126.006658625,238.975428227,6.65922798552,247.268395657,116.642340169,57.3353437877,-57.1924004825,-88.8130277443,0.00384747994499,0.00624279885334,0.00713678242115,0.0258304471417,0.0118682879046,0.0108057110339,0.0221117528078
SiSi2,-148.08238842,303.273341375,-744.524571773,-94.3407720145,-642.731604343,-177.357659831,-88.6646562123,-149.192400483,-132.813027744,0.0215960809182,0.0285932651956,0.054821940572,0.085112401724,0.0263739345059,0.0548513860279,0.0422446835401
QuadSixes,-44.4823884198,-142.106658625,-945.524571773,-125.340772014,-835.731604343,-207.357659831,-109.664656212,-218.192400483,-180.813027744,-0.0571955857484,-0.0730761792488,-0.0351313927613,-0.0941464871649,-0.0803222739075,-0.048323740861,0.00116296454901
